a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w
"29051",7,"Raging Tides","* Exclusive Tournament Prize","",4000,"","{}",1,1290,"iap_banner_ragingtides.webp","iap_banner_ragingtides_asset.webp","","iap_banner_ragingtides_asset.webp","","","","","",-1,0,"",""
"60259",6,"Tribal Voodoo**","Would you like to try a free acupuncture treatment today?","",500,"","{}",1,1596,"iap_badge_voodoodoll.webp","iap_badge_voodoodoll_preview.webp","iap_badge_voodoodoll_54x54.webp","","","","","","",-1,0,"",""
"1503",8,"Imperial Stadium","Battle it out in this magnificent stadium\, an architectural masterpiece of China","",6000,"tablesoccer","{}",0,927,"iap_game_tablesoccer_imperial.webp","iap_game_tablesoccer_imperial_preview.webp","","","","","","","",10003,0,"",""
"20160",1,"Fanous Frame**","As the beloved symbol of celebration\, it is seen everywhere during Ramadan","",5000,"","{}",1,1417,"iap_frame_fanous.webp","iap_frame_fanous_preview.webp","","iap_frame_fanous_350x350.webp","","","","","",-1,0,"","over"
"60032",6,"Thirsty Sun","Absolutely parched","",500,"","{}",0,1616,"iap_badge_thirstysun.webp","iap_badge_thirstysun_preview.webp","iap_badge_thirstysun_54x54.webp","","","","","","",-1,0,"",""
"60188",6,"Garlic**","The symbol of health and medicine","",500,"","{}",1,1150,"iap_badge_garlic.webp","iap_badge_garlic_preview.webp","iap_badge_garlic_54x54.webp","","","","","","",-1,0,"",""
"950",7,"Pablo","* Exclusive Tournament prize","",2500,"","{}",1,660,"iap_banner_pablo.webp","iap_banner_pablo_asset.webp","","iap_banner_pablo_asset.webp","","","","","",-1,0,"",""
"996",7,"Miraculous Bloom**","Mysterious and elusive\, the blue rose signifies hope for a miracle & new possibilities","",3000,"","{}",1,1024,"iap_banner_miraculousbloom.webp","iap_banner_miraculousbloom_asset.webp","","iap_banner_miraculousbloom_asset.webp","","","","","",-1,0,"",""
"20127",1,"Pink Headphones","* Exclusive Tournament prize","",5000,"","{}",1,1066,"iap_frame_pinkheadphones.webp","iap_frame_pinkheadphones_preview.webp","","iap_frame_pinkheadphones_350x350.webp","","","","","",-1,0,"","over"
"2139",8,"Hanged Man Cue","* Exclusive Pool Tournament prize","",7500,"pool","{}",1,1109,"iap_game_pool_hangedman.webp","iap_game_pool_hangedman_preview.webp","","","","","","","",1139,0,"",""
"20005",1,"Flowers**","Go wild with this flower frame","",1000,"","{}",1,1353,"iap_frame_flowers.webp","iap_frame_flowers_preview.webp","","iap_frame_flowers_350x350.webp","","","","","",-1,0,"","over"
"60148",6,"Cutlass","* Exclusive Tournament prize","",1000,"","{}",1,906,"iap_badge_cutlass.webp","iap_badge_cutlass_preview.webp","iap_badge_cutlass_54x54.webp","","","","","","",-1,0,"",""
"112",4,"Hot Dog*","Woof! Change your chat bubbles into a Hot Dog","",750,"","{}",1,1152,"iap_hotdog_item.webp","iap_hotdog_preview.webp","iap_hotdog_item_54x54.webp","iap_hotdog_asset.png","#383533","#383533","#AE4B37","#BFFF22","",-1,0,"",""
"767",6,"Lucky Horseshoe","* Exclusive St. Patrick's Tournament prize","",500,"","{}",1,260,"iap_badge_horseshoe.webp","iap_badge_horseshoe_preview.webp","iap_badge_horseshoe_54x54.webp","","","","","","",-1,0,"",""
"2040",8,"Gaia**","Terra\, Sol 3\, the world\, she is our mother earth (special sound fx)","",5000,"pool","{}",1,1357,"iap_game_pool_earth.webp","iap_game_pool_earth_preview.webp","","","","","","","",1040,0,"",""
"60147",6,"Baby Kraken","* Exclusive Tournament prize","",1000,"","{}",1,902,"iap_badge_kraken.webp","iap_badge_kraken_preview.webp","iap_badge_kraken_54x54.webp","","","","","","",-1,0,"",""
"2067",8,"Shish Kebab*","Skewed just right for you (special sound fx)","",2500,"pool","{}",1,11,"iap_game_pool_kebab.webp","iap_game_pool_kebab_preview.webp","","","","","","","",1067,0,"",""
"60067",6,"Luna Moth","* Exclusive Tournament prize","",2500,"","{}",1,529,"iap_badge_lunamoth.webp","iap_badge_lunamoth_preview.webp","iap_badge_lunamoth_54x54.webp","","","","","","",-1,0,"",""
"4135",8,"Earth Goddess**","Dedicates her life to easing the suffering of all living things","",2000,"crazy8","{}",1,1319,"iap_game_crazy8_earthgoddess.webp","iap_game_crazy8_earthgoddess_preview.webp","","","","","","","",1135,0,"",""
"20077",1,"Bird's Nest","* Exclusive Tournament prize","",4000,"","{}",1,485,"iap_frame_birdnest.webp","iap_frame_birdnest_preview.webp","","iap_frame_birdnest_350x350.webp","","","","","",-1,0,"","over"
"20118",1,"Cupid's Blessing**","Falling in love is dying by the Cupid's bow","",5000,"","{}",1,1005,"iap_frame_cupidblessing.webp","iap_frame_cupidblessing_preview.webp","","iap_frame_cupidblessing_350x350.webp","","","","","",-1,0,"","over"
"722",6,"Premier Cup","* Exclusive Tournament prize","",1000,"","{}",1,99,"iap_badge_premiercup.webp","iap_badge_premiercup_preview.webp","iap_badge_premiercup_54x54.webp","","","","","","",-1,0,"",""
"2049",8,"Amazon Blowgun**","🌬️🌬️🌬️(special sound fx)","",3000,"pool","{}",1,1547,"iap_game_pool_blowgun.webp","iap_game_pool_blowgun_preview.webp","","","","","","","",1049,0,"",""
"4099",8,"Cyberverse City","* Exclusive Ocho Tournament prize!","",4000,"crazy8","{}",1,854,"iap_game_crazy8_matrixcity.webp","iap_game_crazy8_matrixcity_preview.webp","","","","","","","",1099,0,"",""
"4132",8,"Smileys Card","* Exclusive Ocho Tournament Prize","",4000,"crazy8","{}",1,1255,"iap_game_crazy8_smileys.webp","iap_game_crazy8_smileys_preview.webp","","","","","","","",1132,0,"",""
"780",6,"NFT David*","All we really have is a garbled reality","",5000,"","{}",1,273,"iap_badge_nftdavid.webp","iap_badge_nftdavid_preview.webp","iap_badge_nftdavid_54x54.webp","","","","","","",-1,0,"",""
"4108",8,"Origami Love**","Fill your paper with the breathings of your heart
","",4000,"crazy8","{}",1,995,"iap_game_crazy8_origamilove.webp","iap_game_crazy8_origamilove_preview.webp","","","","","","","",1108,0,"",""
"29102",7,"Eliminate Jason","Equip this banner to remove Jason from the Island","",1000,"","{}",1,1578,"iap_banner_xjason.webp","iap_banner_xjason_asset.webp","","iap_banner_xjason_asset.webp","","","","","",-1,0,"",""
"60197",6,"Cat Rules","* Exclusive 2022 Cat vs Dog Prize!","",10000,"","{}",1,1199,"iap_badge_catrules.webp","iap_badge_catrules_preview_2.webp","iap_badge_catrules_54x54.webp","","","","","","",-1,0,"",""
"148",4,"Basketball","Change your chat bubbles into a basketball court","",1000,"","{}",0,311,"iap_bball_item.webp","iap_bball_preview.webp","iap_bball_item_54x54.webp","iap_bball_asset.png","#FFFFFF","#FBD654","#FFD69D","#A0DC29","",-1,0,"",""
"761",6,"March 8**","Celebrate International Women's Day on Plato","",100,"","{}",1,279,"iap_badge_march8.webp","iap_badge_march8_preview.webp","iap_badge_march8_54x54.webp","","","","","","",-1,0,"",""
"2065",8,"Piñata Cue*","Close your eyes and take a shot (special sound fx)","",4000,"pool","{}",1,298,"iap_game_pool_pinata.webp","iap_game_pool_pinata_preview.webp","","","","","","","",1065,0,"",""
"60026",6,"Unicorn Boba*","Drink the rainbow","",500,"","{}",1,448,"iap_badge_unicornboba.webp","iap_badge_unicornboba_preview.webp","iap_badge_unicornboba_54x54.webp","","","","","","",-1,0,"",""
"138",4,"Comfy Sofa","There really is no place like home","",2500,"","{}",0,714,"iap_sofa_item.webp","iap_sofa_preview.webp","iap_sofa_item_54x54.webp","iap_sofa_asset.png","#FFFFFF","#FBD3D3","#FBD3D3","#BFFF22","",-1,0,"",""
"2021",8,"Groovy","Only good vibes with this Groovy cue in Pool","",750,"pool","{}",0,746,"iap_game_pool_groovy.webp","iap_game_pool_groovy_preview.webp","","","","","","","",1018,0,"",""
"4151",8,"Plane Wreck Card","* Exclusive Ocho Tournament Prize!","",4000,"crazy8","{}",1,1629,"iap_game_crazy8_planewreck.webp","iap_game_crazy8_planewreck_preview.webp","","","","","","","",1151,0,"",""
"11012",8,"Summer BBQ","The more we can throw on the grill in the summer\, the better!","",2500,"ludo","{}",0,1653,"iap_game_ludo_summer.webp","iap_game_ludo_summer_preview.webp","","","","","","","",1012,0,"",""
"948",7,"Sausage March*","Dogs on parade!","",2500,"","{}",1,641,"iap_banner_sausages.webp","iap_banner_sausages_anim.webp","","iap_banner_sausages_anim.webp","","","","","",-1,0,"",""
"4074",8,"Viola","Let the lights take you deeper","",1000,"crazy8","{}",0,811,"iap_game_crazy8_viola.webp","iap_game_crazy8_viola_preview.webp","","","","","","","",1074,0,"",""
"146",4,"Nature**","Cuddle up with nature","",2000,"","{}",1,1524,"iap_nature_item.webp","iap_nature_preview.webp","iap_nature_item_54x54.webp","iap_nature_asset.png","#FFFFFF","#ABE964","#F1B17E","#ABE964","",-1,0,"",""
"1007",8,"Blue London","Play as Blue London in Table Soccer with this team kit","",1000,"tablesoccer","{}",0,396,"iap_game_tablesoccer_bluelondon2.webp","iap_game_tablesoccer_bluelondon_preview.webp","","","","","","","",3,0,"",""
"60068",6,"Jaguar**","Apex predator of jungle","",500,"","{}",1,1561,"iap_badge_jaguar.webp","iap_badge_jaguar_preview.webp","iap_badge_jaguar_54x54.webp","","","","","","",-1,0,"",""
"2085",8,"Candlestick","* Exclusive Pool Tournament prize!","",5000,"pool","{}",1,531,"iap_game_pool_candle.webp","iap_game_pool_candle_preview.webp","","","","","","","",1085,0,"",""
"11010",8,"Iftar Dinner","Spending Eid with friends and family with lots of delicious food is a pure blessing","",2500,"ludo","{}",0,1391,"iap_game_ludo_iftardinner.webp","iap_game_ludo_iftardinner_preview.webp","","","","","","","",1010,0,"",""
"519",10,"Cats Past Bundle 2*","Instantly unlocks 6 non-festive Cat items from 2019-2021 (eligible for Cat vs Dog event)","",3625,"","{}",1,1205,"iap_bundle_catpast2.webp","iap_bundle_catpast2_preview.webp","","","","","","","",-1,0,"",""
"896",7,"Distant Romance","* Exclusive Ocho Tournament prize","",1500,"","{}",1,202,"iap_banner_distantromance.webp","iap_banner_distantromance_asset.webp","","iap_banner_distantromance_asset.webp","","","","","",-1,0,"",""
"4007",8,"Whirlwind","Throw caution to the wind with this breezy card set in Ocho","",750,"crazy8","{}",0,1279,"iap_game_crazy8_whirlwind.webp","iap_game_crazy8_whirlwind_preview.webp","","","","","","","",1007,0,"",""
"4027",8,"Diamond Card","Because some things last forever...","",10000,"crazy8","{}",0,969,"iap_game_crazy8_diamond.webp","iap_game_crazy8_diamond_preview.webp","","","","","","","",1027,0,"",""
"2064",8,"Penguin*","Peace\, love\, penguins (special sound fx)","",1000,"pool","{}",1,53,"iap_game_pool_penguin.webp","iap_game_pool_penguin_preview.webp","","","","","","","",1064,0,"",""
"4136",8,"Storm Bringer**","Bringer of shock and awe\, wielding thunder and lightning","",2000,"crazy8","{}",1,1318,"iap_game_crazy8_stormbringer.webp","iap_game_crazy8_stormbringer_preview.webp","","","","","","","",1136,0,"",""
"60075",6,"Haathee*","A symbol of sensitivity\, kindness and strength","",500,"","{}",1,550,"iap_badge_haathee.webp","iap_badge_haathee_preview.webp","iap_badge_haathee_54x54.webp","","","","","","",-1,0,"",""
"4088",8,"Pattaya**","Traditional Thai design of lattice patterns","",2000,"crazy8","{}",1,1332,"iap_game_crazy8_pattaya.webp","iap_game_crazy8_pattaya_preview.webp","","","","","","","",1088,0,"",""
"4119",8,"Arcana Moon","Exquisite moon phases for the night sky lovers","",2000,"crazy8","{}",0,1088,"iap_game_crazy8_arcanamoon_2.webp","iap_game_crazy8_arcanamoon_preview.webp","","","","","","","",1119,0,"",""
"20062",1,"Piñata Frame*","Be the center of attention","",2000,"","{}",1,290,"iap_frame_pinata.webp","iap_frame_pinata_preview.webp","","iap_frame_pinata_350x350.webp","","","","","",-1,0,"","over"
"183",4,"Thai Temple**","A place of peace\, away from all evil","",5000,"","{}",1,1338,"iap_thailand_item.webp","iap_thailand_preview.webp","iap_thailand_item_54x54.webp","iap_thailand_asset.png","#6C1B02","#9F462A","#D24C1A","#BFFF22","",-1,0,"",""
"1507",8,"Plato Word Stadium**","Best played at low resolution to get better performance","",12000,"tablesoccer","{}",1,1234,"iap_game_tablesoccer_platoword.webp","iap_game_tablesoccer_platoword_preview.webp","","","","","","","",10007,0,"",""
"2050",8,"Cow","Moo (special sound fx)","",1000,"pool","{}",0,431,"iap_game_pool_cow.webp","iap_game_pool_cow_preview.webp","","","","","","","",1050,0,"",""
"2061",8,"Lion*","King of the jungle (special sound fx)","",4000,"pool","{}",1,55,"iap_game_pool_lion.webp","iap_game_pool_lion_preview.webp","","","","","","","",1061,0,"",""
"644",6,"Ginger George**","You can't catch him\, he's the gingerbread man","",500,"","{}",1,121,"iap_badge_gingerbreadman.webp","iap_badge_gingerbreadman_preview.webp","iap_badge_gingerbreadman_54x54.webp","","","","","","",-1,0,"",""
"2124",8,"Imperial Cue","* Exclusive Pool Tournament prize","",7500,"pool","{}",1,897,"iap_game_pool_lnydeco_2.webp","iap_game_pool_lnydeco_preview.webp","","","","","","","",1124,0,"",""
"4065",8,"St Germain*","Lieu de naissance des rois","",750,"crazy8","{}",1,496,"iap_game_crazy8_stgermain.webp","iap_game_crazy8_stgermain_preview.webp","","","","","","","",1065,0,"",""
"20143",1,"Platoamp Frame**","A whiplash to the past","",5000,"","{}",1,1229,"iap_frame_platoamp.webp","iap_frame_platoamp_preview.webp","","iap_frame_platoamp_350x350.webp","","","","","",-1,0,"","over"
"151",4,"Xmas**","To-do: Get the decorations up early this year","",5000,"","{}",1,224,"iap_xmas_item.png","iap_xmas_preview.png","iap_xmas_item_54x54.png","iap_xmas_asset.png","#FFFFFF","#FFF2B3","#FFE258","#82F61D","",-1,0,"",""
"175",4,"Saudi Chat Bubble*","Community designed by 1fadia","",2000,"","{}",1,628,"iap_saudi_item.webp","iap_saudi_preview.webp","iap_saudi_item_54x54.webp","iap_saudi_asset_2.png","#F87417","#B54F08","#57AF0F","#4B72D9","",-1,0,"",""
"890",7,"Night Rider","Driving *is* the destination","",5000,"","{}",0,363,"iap_banner_nightrider.webp","iap_banner_nightrider_anim.webp","","iap_banner_nightrider_anim.webp","","","","","",-1,0,"",""
"4064",8,"La Dame de Fer*","The Iron Lady","",2000,"crazy8","{}",1,497,"iap_game_crazy8_eiffel.webp","iap_game_crazy8_eiffel_preview.webp","","","","","","","",1064,0,"",""
"453",9,"Developer","This person is an official developer on the Plato Team.","",9999999,"","{}",1,724,"iap_utility_dev.webp","iap_utility_dev_preview.webp","iap_utility_dev_108x54.webp","","","","","","",-1,0,"",""
"706",6,"Joke Teeth*","The joke's on you!","",500,"","{}",1,173,"iap_badge_joketeeth.webp","iap_badge_joketeeth_preview.webp","iap_badge_joketeeth_54x54.webp","","","","","","",-1,0,"",""
"3002",8,"Keepers of the Hunt","Attack tiles at range","",2750,"legions","{}",0,520,"iap_game_legions_keeper.webp","iap_game_legions_keeper_preview.webp","","","","","","","",1002,0,"",""
"8013",8,"80s Ball","* Exclusive Bowling Tournament prize!","",1000,"bowling","{}",1,177,"iap_game_bowling_ball_80s.webp","iap_game_bowling_ball_80s_preview.webp","","","","","","","",1013,0,"",""
"304",2,"20\,000 Coins","20\,000 Coins","com.plato.android.mena.coinsxl",0,"","{}",0,283,"iap_platocoins_bundle_xl_value.webp","iap_platocoins_bundle_xl_preview.webp","","","","","","","",-1,0,"",""
"880",7,"Illuminate*","Celebrate the Festival of Lights","",1500,"","{}",1,64,"iap_banner_illuminate.webp","iap_banner_illuminate_anim.webp","","iap_banner_illuminate_anim.webp","","","","","",-1,0,"",""
"1012",8,"Amsterdam","Play as Amsterdam in Table Soccer with this team kit","",1000,"tablesoccer","{}",0,393,"iap_game_tablesoccer_amsterdam.webp","iap_game_tablesoccer_amsterdam_preview.webp","","","","","","","",0,0,"",""
"60118",6,"Dracula Jr.* ","Just... give him a little time","",500,"","{}",1,661,"iap_badge_draculajr.webp","iap_badge_draculajr_preview.webp","iap_badge_draculajr_54x54.webp","","","","","","",-1,0,"",""
"3004",8,"Ravagers","Captures add +1 to all ranks","",2750,"legions","{}",0,519,"iap_game_legions_ravager.webp","iap_game_legions_ravager_preview.webp","","","","","","","",1004,0,"",""
"4023",8,"Precious Tree**","Not enough tinsel.","",1000,"crazy8","{}",1,196,"iap_game_crazy8_precioustree.png","iap_game_crazy8_precioustree_preview.png","","","","","","","",1023,0,"",""
"187",4,"Snowman Bubble"," * Exclusive 2021 Gift Giver Prize!","",10000,"","{}",1,782,"iap_snowman_item.webp","iap_snowman_preview.webp","iap_snowman_item_54x54.webp","iap_snowman_asset.png","#2C76FD","#093689","#E20F16","#049106","",-1,0,"",""
"686",6,"Hummingbird","Fluttering at full speed","",500,"","{}",0,337,"iap_badge_hummingbird.webp","iap_badge_hummingbird_preview.webp","iap_badge_hummingbird_54x54.webp","","","","","","",-1,0,"",""
"884",7,"Gingerbread Hill*","Handmade and home","",500,"","{}",1,189,"iap_banner_gingerbreadhill.webp","iap_banner_gingerbreadhill_asset.webp","","iap_banner_gingerbreadhill_asset.webp","","","","","",-1,0,"",""
"2517",8,"Starship Bridge","The main command and control centre of a starship","",6000,"pool","{}",0,1496,"iap_game_pool_startrekbridge.webp","iap_game_pool_startrekbridge_preview.webp","","","","","","","",10017,0,"",""
"20178",1,"Escape Raft","* Exclusive Tournament Prize!","",5000,"","{}",1,1627,"iap_frame_escaperaft.webp","iap_frame_escaperaft_preview.webp","","iap_frame_escaperaft_350x350.webp","","","","","",-1,0,"","over"
"29014",7,"Peri**","Exquisite\, winged spirits renowned for their beauty","",3000,"","{}",1,1130,"iap_banner_peri.webp","iap_banner_peri_asset.webp","","iap_banner_peri_asset.webp","","","","","",-1,0,"",""
"2106",8,"Dracula Cue*","Community designed by humillarte (glow + special sound fx)","",9000,"pool","{}",1,669,"iap_game_pool_dracula.webp","iap_game_pool_dracula_preview.webp","","","","","","","",1106,0,"",""
"60213",6,"S1 Silver Badge","* Exclusive reward for getting to Silver in Season 1 Ranked!","",999999,"","{}",1,1272,"iap_badge_silver_rankeds1.webp","iap_badge_silver_rankeds1_preview.webp","iap_badge_silver_rankeds1_54x54.webp","","","","","","",-1,0,"",""
"60088",6,"Mangosteen","* Exclusive Tournament prize","",1500,"","{}",1,587,"iap_badge_mangosteen.webp","iap_badge_mangosteen_preview.webp","iap_badge_mangosteen_54x54.webp","","","","","","",-1,0,"",""
"993",7,"Everlasting Bloom","* Exclusive Tournament prize","",8000,"","{}",1,978,"iap_banner_everlastingbloom.webp","iap_banner_everlastingbloom_anim.webp","","iap_banner_everlastingbloom_anim.webp","","","","","",-1,0,"",""
